gene,in_degree,out_degree,total_degree
A4GALT,3,0,3
AAAS,3,0,3
AADACL2,3,25,28
AADAT,3,0,3
AAK1,3,0,3
AAMDC,3,0,3
AAMP,3,0,3
AAR2,3,0,3
AARS2,3,0,3
AASDH,3,0,3
AASS,3,0,3
AATK,3,0,3
ABAT,3,0,3
ABCA2,3,0,3
ABCA7,3,0,3
ABCB10,3,0,3
ABCB6,3,0,3
ABCB7,3,0,3
ABCB8,3,0,3
ABCB9,3,0,3
ABCC1,3,0,3
ABCC10,3,0,3
ABCC3,3,0,3
ABCC4,3,0,3
ABCC5,3,0,3
ABCC6,3,0,3
ABCC8,3,0,3
ABCD1,3,0,3
ABCD2,3,0,3
ABCD4,3,0,3
ABCF3,3,0,3
ABCG5,3,0,3
ABCG8,3,0,3
ABHD1,3,0,3
ABHD11,3,0,3
ABHD12,3,0,3
ABHD13,3,0,3
ABHD14A,3,0,3
ABHD14B,3,99,102
ABHD15,3,0,3
ABHD16A,3,0,3
ABHD17A,3,0,3
ABHD2,3,0,3
ABHD3,3,51,54
ABHD4,3,0,3
ABHD5,3,0,3
ABHD8,3,0,3
ABI2,3,0,3
ABL1,3,0,3
ABLIM1,3,0,3
ABLIM3,3,0,3
ABO,3,0,3
ACAA1,3,0,3
ACAA2,3,0,3
ACACA,3,0,3
ACAD10,3,0,3
ACAD11,3,0,3
ACAD8,3,0,3
ACADM,3,0,3
ACADSB,3,0,3
ACAN,3,0,3
ACAP2,3,0,3
ACAP3,3,0,3
ACAT1,3,0,3
ACAT2,3,0,3
ACBD4,3,0,3
ACBD5,3,0,3
ACD,3,0,3
ACE,3,0,3
ACER2,3,0,3
ACIN1,3,0,3
ACLY,3,0,3
ACO2,3,0,3
ACOT12,3,0,3
ACOT6,3,0,3
ACOT7,3,0,3
ACOT8,3,0,3
ACOT9,3,0,3
ACOX1,3,0,3
ACOX3,3,0,3
ACOXL,3,0,3
ACP2,3,0,3
ACRBP,3,0,3
ACSF2,3,0,3
ACSF3,3,0,3
ACSL6,3,0,3
ACSS1,3,0,3
ACSS2,3,0,3
ACSS3,3,0,3
ACTA1,3,0,3
ACTA2,3,0,3
ACTB,3,0,3
ACTG1,3,0,3
ACTL6A,3,0,3
ACTL7B,3,0,3
ACTN2,3,0,3
ACTN3,3,0,3
ACTR10,3,114,117
ACTR3B,3,0,3
ACTR5,3,0,3
ACTRT3,3,0,3
ACVR1,3,0,3
ACVR2B,3,3,6
ACY3,3,0,3
ACYP1,3,0,3
ADAD1,3,0,3
ADAM15,3,0,3
ADAM17,3,0,3
ADAM22,3,0,3
ADAM23,3,0,3
ADAM33,3,0,3
ADAM8,3,0,3
ADAMTS1,3,0,3
ADAMTS10,3,0,3
ADAMTS12,3,0,3
ADAMTS14,3,0,3
ADAMTS15,3,0,3
ADAMTS16,3,0,3
ADAMTS17,3,0,3
ADAMTS18,3,0,3
ADAMTS19,3,3,6
ADAMTS20,3,0,3
ADAMTS3,3,0,3
ADAMTS5,3,0,3
ADAMTSL3,3,0,3
ADAMTSL5,3,0,3
ADAP1,3,0,3
ADARB1,3,0,3
ADAT1,3,0,3
ADAT2,3,0,3
ADAT3,3,0,3
ADCK1,3,0,3
ADCK2,3,0,3
ADCK5,3,0,3
ADCY1,3,0,3
ADCY10P1,3,0,3
ADCY2,3,0,3
ADCY3,3,0,3
ADCY5,3,8,11
ADCY6,3,0,3
ADCY9,3,0,3
ADCYAP1R1,3,0,3
ADD1,3,0,3
ADD2,3,0,3
ADGRA1,3,0,3
ADGRA2,3,0,3
ADGRA3,3,0,3
ADGRB2,3,0,3
ADGRG2,3,0,3
ADGRG6,3,0,3
ADGRL1,3,0,3
ADGRV1,3,0,3
ADIPOR1,3,0,3
ADIPOR2,3,0,3
ADIRF,3,0,3
ADM2,3,0,3
ADNP,3,0,3
ADORA2A,3,0,3
ADORA2B,3,0,3
ADPGK,3,0,3
ADPRHL2,3,0,3
ADPRM,3,0,3
ADRA1A,3,0,3
ADRA1B,3,0,3
ADRA1D,3,40,43
ADRA2A,3,0,3
ADRA2B,3,0,3
ADRA2C,3,0,3
ADRB1,3,0,3
ADRM1,3,0,3
ADSL,3,0,3
AEN,3,0,3
AFAP1,3,0,3
AFAP1L2,3,0,3
AFF1,3,0,3
AFF3,3,0,3
AFF4,3,85,88
AFG3L1P,3,0,3
AFMID,3,0,3
AGAP11,3,0,3
AGAP3,3,0,3
