tf,target,weight,importance,interaction,edge_color,edge_width
TSC22D1,A4GALT,-0.13827775418758392,0.13827775418758392,repression,#FF0000,0.6963399553065583
ATP2C1,A4GALT,-0.11363644897937775,0.11363644897937775,repression,#FF0000,0.5722511207128138
MFN2,A4GALT,-0.11188936978578568,0.11188936978578568,repression,#FF0000,0.5634531686869764
HNRNPA1L2,AAAS,0.15010128915309906,0.15010128915309906,activation,#00FF00,0.7558809845764103
NDUFA12,AAAS,0.13355928659439087,0.13355928659439087,activation,#00FF00,0.6725786675111096
PPM1B,AAAS,-0.10755393654108047,0.10755393654108047,repression,#FF0000,0.5416207675926024
SERPINA12,AADACL2,0.1865558624267578,0.1865558624267578,activation,#00FF00,0.9394591463222459
FLG,AADACL2,0.1344730257987976,0.1344730257987976,activation,#00FF00,0.6771800809524596
CERS3,AADACL2,0.108405202627182,0.108405202627182,activation,#00FF00,0.5459075785249363
CCDC57,AADAT,0.21247261762619019,0.21247261762619019,activation,#00FF00,1.069970899736912
SLC5A3,AADAT,0.1118510514497757,0.1118510514497757,activation,#00FF00,0.5632602049775106
PAIP2,AADAT,-0.1107165738940239,0.1107165738940239,repression,#FF0000,0.5575471960043042
KMT2C,AAK1,0.25997865200042725,0.25997865200042725,activation,#00FF00,1.3092020764891186
TOP3A,AAK1,0.21169929206371307,0.21169929206371307,activation,#00FF00,1.0660765821673468
PPM1B,AAK1,0.15265940129756927,0.15265940129756927,activation,#00FF00,0.7687631412675948
USP35,AAMDC,0.5281434655189514,0.5281434655189514,activation,#00FF00,2.659628074925298
PSMD10,AAMDC,0.10177870094776154,0.10177870094776154,activation,#00FF00,0.5125378010766647
HINT1,AAMDC,0.0985761359333992,0.0985761359333992,activation,#00FF00,0.5
GANAB,AAMP,0.20834685862064362,0.20834685862064362,activation,#00FF00,1.049194377450973
XRCC5,AAMP,0.19696404039859772,0.19696404039859772,activation,#00FF00,0.9918727122375686
SYMPK,AAMP,0.17227622866630554,0.17227622866630554,activation,#00FF00,0.8675496798070588
ERGIC3,AAR2,0.347816526889801,0.347816526889801,activation,#00FF00,1.7515365809367012
DDX21,AAR2,0.18218646943569183,0.18218646943569183,activation,#00FF00,0.9174557305306634
